nombreCorto;nombreOficial;Ciudad;Fundación;FundLegal;nombreHistorico
Pontevedra;Pontevedra Club de Fútbol;Pontevedra;1941;Pontevedra Club de Fútbol
Rac. Santander;Real Racing Club de Santander;Santander;1913;Santander Racing Club
Rayo Vallecano;Rayo Vallecano de Madrid;Madrid;1924;Agrupación Deportiva El Rayo
Real Madrid;Real Madrid Club de Fútbol;Madrid;1900;1902;(Sociedad) Madrid Foot-Ball Clubn 5?
Real Madrid B;Real Madrid Castilla Club de Fútbol;Madrid;1930;Agrupación Deportiva Plus Ultra
Real Sociedad;Real Sociedad de Fútbol;San Sebastián;1909;Sociedad de Foot-Ball
Real Unión;Real Unión Club;Irún;1915;Real Unión Club de Irún
Rec. Huelva;Real Club Recreativo de Huelva;Huelva;1889;1889;Huelva Recreation Club
Sabadell;Centre dEsports Sabadell Futbol Club;Sabadell;1901;1906;Centre dEsports Sabadell
Salamanca;Unionistas de Salamanca Club de Fútbol;Salamanca;2013;Plataforma de Aficionados Unionistas
Sant Andreu;Unió Esportiva Sant Andreu;Barcelona;1909;Unió Esportiva Sant Andreu
Sestao;Sestao River Club;Sestao;1996;Sestao River Club
Sevilla;Sevilla Fútbol Club;Sevilla;1905;Sevilla Foot-Ball Club
Sevilla B;Sevilla Atlético Club;Sevilla;1950;Club Deportivo Puerto
Sporting Gijón;Real Oviedo Vetusta;Oviedo;1930;Real Oviedo Vetusta
Tenerife;Club Deportivo Tenerife;Santa Cruz de Tenerife;1912;Sporting Club Tenerife
Terrassa;Terrassa Fútbol Club;Tarrasa;2009;Terrassa Olímpica 2010
Toledo;;
Univ.Las Palma;;
Valencia;Valencia Club de Fútbol;Valencia;1919;Valencia Foot-Ball Club
Valencia B;Valencia Club de Fútbol Mestalla;Paterna;1944;Club Deportivo Mestalla
Valladolid;Real Valladolid Club de Fútbol;Valladolid;1928;Real Valladolid Deportivo
Vecindario;;
Villarreal;Villarreal Club de Fútbol;Villarreal;1944;1947;Club Atlético Foghetecaz
Villarreal B;;
Xerez;Xerez Club Deportivo;Jerez de la Frontera;1947;Jerez Club Deportivo
Zaragoza;Real Zaragoza;Zaragoza;1932;Zaragoza Foot-Ball Club
Zaragoza B;;
;Agrupación Deportiva Alcorcón B;Alcorcón;1998;Agrupación Deportiva Alcorcón
;Club Deportivo Marino;Arona;1933;Marino Fútbol Club
;Club Deportivo Basconia;Basauri;1913;Club Deportivo Basconia
;Tolosa Club de Fútbol;Tolosa;1922;Tolosa Foot-Ball Club
;Club Deportivo Contestano;Cocentaina;1917;1919;Club Deportivo Contestano
;Pumarín Club de Futbol;Oviedo;1917;Pumarín Club de Futbol
;Sporting Club de Lutxana;Baracaldo;1919;Sporting Club de Lutxana
;Real Club Deportivo Gara;Garachico;1912;Garachico Balompié
;Calavera Club de Fútbol;Sevilla;1928;Calavera Foot-Ball Club
;Club Atlético Central;Sevilla;2018;Club Atlético Central
;Club de Fútbol Rayo Majadahonda;Majadahonda;1976;Club de Fútbol Rayo Majadahonda
;Getafe Club de Fútbol B;Getafe;1983;Getafe Club de Fútbol Promesas
;Club Deportivo Cayón;Santa María de Cayón;1915;Club Deportivo Cayón
;Club Siero;Pola de Siero;1916;Club Siero
;Club Deportivo Acero;Puerto de Sagunto;1919;1919;Sporting Club
;Gimnástica de Torrelavega;Torrelavega;1907;Sociedad Gimnástica
;Real Club Deportivo Fabril;La Coruña;1914;Fabril Foot-ball Club
;Puerto Real Club de Fútbol;Puerto Real;1931;Juventud Artística Deportiva
;Club Futbol Capellades;Capellades;1920;Centre Esportiu Capelló
;Alboraya Unión Deportiva;Alboraya;1978;Alboraya Unión Deportiva
;Club Atlético Bembibre;Bembibre;1915;1922;Club Deportivo Bembibrense
;Club Haro Deportivo;Haro;1914;Haro Sport Club
;Vélez Club de Fútbol;Vélez-Málaga;1922;Sociedad Deportiva Vélez Football Club
;Sociedad Deportiva Deusto;Deusto;1913;Sociedad Deportiva Deusto
;Unión Popular de Langreo;Langreo;1961;Unión Popular de Langreo
;Arenas Club de Guecho;Guecho;1909;1910;Arenas Foot-Ball Club
;Caudal Deportivo;Mieres;1918;Racing Club de Mieres
;Astur Club de Futbol;Oviedo;1923;Astur Club de Futbol
;Real Sociedad de Fútbol B;San Sebastián;1950;Real Sociedad
;Racing Club Portuense;El Puerto de Santa María;1928;Racing Football Club Portuense
;UCAM Murcia Club de Fútbol;Murcia;1999;Universidad Católica San Antonio de Murcia C.F.
;Deportiva Piloñesa;Infiesto;1917;Deportiva Piloñesa
;Club Portugalete;Portugalete;1909;Club Portugalete
;Real Club Deportivo Axpo Carabanchel;Madrid;1906;1916;Club Deportivo Carabanchel
;Luarca Club de Futbol;Luarca;1912;Luarca Club de Futbol
;Club Deportivo Lealtad;Villaviciosa;1916;Club Deportivo Lealtad
;Unión Deportiva Logroñés;Logroño;1967;Club Deportivo Varea
;Real Titánico;Pola de Laviana;1964;Real Titánico - Titanic
;Santutxu Fútbol Club;Santuchu;1918;Santutxu Fútbol Club
;Carrión Balompié;Carrión de los Céspedes;1928;Carrión Balompié
;Club Deportivo Izarra;Estella;1924;Izarra Beti Aurrera
;Club Deportivo Elgoibar;Elgóibar;1917;Club Deportivo Elgoibar
;Club de Fútbol Badalona;Badalona;1903;1908;Football Bétulo Club
;Xerez Deportivo Fútbol Club;Jerez de la Frontera;2013;Xerez Deportivo Fútbol Club
;Real Unión de Tenerife Club de Fútbol;Tenerife;1915;(Sociedad) 1.º de Abril para el Fomento de El Cabo
;Sociedad Deportiva Beasain;Beasáin;1905;Beasain Kirol Elkartea
;Club Marino de Luanco;Luanco;1931;Club Marino
;Montilla Club de Fútbol;Montilla;1973;Club Deportivo Montilla
;Futbol Club Vilafranca;Villafranca del Panadés;1904;1916;La Societat Football-Club Vilafranca
;Unión Deportiva Icodense;Icod de los Vinos;1912;Icod Sporting Club
;Real Sporting de Gijón;Gijón;1905;Sporting Gijonés
;Santfeliuenc Futbol Club;San Feliú de Llobregat;1905;Santfeliuenc Foot-ball Club
;Club Esportiu Europa;Barcelona;1907;Club Deportivo Europa
;Sociedad Deportiva Erandio Club;Erandio;1915;Sociedad Deportiva Erandio Club
;Club Deportivo Eldense;Elda;1921;Club Deportivo Eldense
;Club Polideportivo Cacereño;Cáceres;1919;Club Deportivo Cacereño
;Club Deportivo Mensajero;Santa Cruz de La Palma;1922;Club Mensajero
;Sociedad Cultural Deportiva de Durango;Durango;1919;Sociedad Cultural Deportiva de Durango
;Sociedad Deportiva Gernika Club;Guernica;1922;Sociedad Deportiva Gernika Club
;Sociedad Deportiva Amorebieta;Amorebieta-Echano;1925;Sociedad Deportiva Amorebieta
;Club Deportivo San Andrés;San Andrés (Tenerife);1930;Club Deportivo San Andrés
;Sociedad Deportiva Tenisca;Santa Cruz de La Palma;1922;Tenisca Balompié
