EQUIPO_LOCAL;EQUIPO_VISITANTE
Burgos;Albacete
Burgos;Almería (A.D.)
Burgos;At. Madrid
Burgos;At. Madrid B
Burgos;Ath. Bilbao
Burgos;Badajoz
Burgos;Barakaldo
Burgos;Barcelona
Burgos;Barcelona B
Burgos;Betis
Burgos;Cádiz
Burgos;Calvo Sotelo
Burgos;Castellón
Burgos;Celta
Burgos;Ceuta
Burgos;Córdoba
Burgos;Cult. Leonesa
Burgos;Dptivo. Coruña
Burgos;Éibar
Burgos;Ejido
Burgos;Elche
Burgos;Ensidesa
Burgos;Espanyol
Burgos;Extremadura
Burgos;Ferrol
Burgos;Getafe
Burgos;Gimn. Tarragon
Burgos;Granada
Burgos;Hércules
Burgos;Jaén
Burgos;Las Palmas
Burgos;Leganés
Burgos;Levante
Burgos;Linares
Burgos;Málaga (C.D.)
Burgos;Mallorca
Burgos;Murcia
Burgos;Numancia
Burgos;Osasuna
Burgos;Ourense
Burgos;Oviedo
Burgos;Palencia
Burgos;Rac. Santander
Burgos;Rayo Vallecano
Burgos;Real Madrid
Burgos;Real Madrid B
Burgos;Real Sociedad
Burgos;Rec. Huelva
Burgos;Sabadell
Burgos;Salamanca
Burgos;Sant Andreu
Burgos;Sevilla
Burgos;Sporting Gijón
Burgos;Tenerife
Burgos;Terrassa
Burgos;Valencia
Burgos;Valladolid
Burgos;Xerez
Burgos;Zaragoza
Cádiz;Alavés
Cádiz;Albacete
Cádiz;Algeciras
Cádiz;Almería
Cádiz;Almería (A.D.)
Cádiz;At. Madrid
Cádiz;At. Madrid B
Cádiz;Ath. Bilbao
Cádiz;Ath. Bilbao B
Cádiz;Badajoz
Cádiz;Barakaldo
Cádiz;Barcelona
Cádiz;Barcelona B
Cádiz;Betis
Cádiz;Burgos
Cádiz;Burgos (Real)
Cádiz;Calvo Sotelo
Cádiz;Cartagena
Cádiz;Cartagena F.C.
Cádiz;Castellón
Cádiz;Celta
Cádiz;Ceuta
Cádiz;Compostela
Cádiz;Córdoba
Cádiz;Cult. Leonesa
Cádiz;Dptivo. Coruña
Cádiz;Éibar
Cádiz;Ejido
Cádiz;Elche
Cádiz;Ensidesa
Cádiz;Espanyol
Cádiz;Ferrol
Cádiz;Figueres
Cádiz;Getafe
Cádiz;Gimn. Tarragon
Cádiz;Girona
Cádiz;Granada
Cádiz;Granada 74
Cádiz;Hércules
Cádiz;Huesca
Cádiz;Jaén
Cádiz;Las Palmas
Cádiz;Leganés
Cádiz;Levante
Cádiz;Linares
Cádiz;Lleida
Cádiz;Logroñés
Cádiz;Lorca
Cádiz;Málaga
Cádiz;Málaga (C.D.)
Cádiz;Málaga B
Cádiz;Mallorca
Cádiz;Marbella
Cádiz;Mérida
Cádiz;Murcia
Cádiz;Numancia
Cádiz;Osasuna
Cádiz;Ourense
Cádiz;Oviedo
Cádiz;Palamós
Cádiz;Palencia
Cádiz;Ponferradina
Cádiz;Pontevedra
Cádiz;Rac. Santander
Cádiz;Rayo Vallecano
Cádiz;Real Madrid
Cádiz;Real Madrid B
Cádiz;Real Sociedad
Cádiz;Real Unión
Cádiz;Rec. Huelva
Cádiz;Sabadell
Cádiz;Salamanca
Cádiz;Sant Andreu
Cádiz;Sevilla
Cádiz;Sevilla B
Cádiz;Sporting Gijón
Cádiz;Tenerife
Cádiz;Terrassa
Cádiz;Toledo
Cádiz;Valencia
Cádiz;Valencia B
Cádiz;Valladolid
Cádiz;Vecindario
Cádiz;Villarreal
Cádiz;Villarreal B
Cádiz;Xerez
Cádiz;Zaragoza
Calvo Sotelo;Alavés
Calvo Sotelo;At. Madrid B
Calvo Sotelo;Ath. Bilbao B
Calvo Sotelo;Barakaldo
Calvo Sotelo;Barcelona B
Calvo Sotelo;Burgos
Calvo Sotelo;Cádiz
Calvo Sotelo;Cartagena F.C.
Calvo Sotelo;Castellón
Calvo Sotelo;Celta
Calvo Sotelo;Córdoba
Calvo Sotelo;Dptivo. Coruña
Calvo Sotelo;Ensidesa
Calvo Sotelo;Getafe
Calvo Sotelo;Gimn. Tarragon
Calvo Sotelo;Granada
Calvo Sotelo;Jaén
Calvo Sotelo;Las Palmas
Calvo Sotelo;Levante
Calvo Sotelo;Logroñés
Calvo Sotelo;Lorca
Calvo Sotelo;Málaga (C.D.)
Calvo Sotelo;Mallorca
Calvo Sotelo;Murcia
Calvo Sotelo;Osasuna
Calvo Sotelo;Oviedo
Calvo Sotelo;Pontevedra
Calvo Sotelo;Rayo Vallecano
Calvo Sotelo;Real Madrid B
Calvo Sotelo;Rec. Huelva
Calvo Sotelo;Sabadell
Calvo Sotelo;Salamanca
Calvo Sotelo;Sant Andreu
Calvo Sotelo;Sporting Gijón
Calvo Sotelo;Tenerife
Calvo Sotelo;Terrassa
Calvo Sotelo;Valladolid
Calvo Sotelo;Zaragoza
Cartagena F.C.;Alavés
Cartagena F.C.;Albacete
Cartagena F.C.;Algeciras
Cartagena F.C.;At. Madrid B
Cartagena F.C.;Ath. Bilbao B
Cartagena F.C.;Barcelona B
Cartagena F.C.;Burgos (Real)
Cartagena F.C.;Cádiz
Cartagena F.C.;Calvo Sotelo
Cartagena F.C.;Castellón
Cartagena F.C.;Celta
Cartagena F.C.;Córdoba
Cartagena F.C.;Dptivo. Coruña
Cartagena F.C.;Elche
Cartagena F.C.;Figueres
Cartagena F.C.;Granada
Cartagena F.C.;Hércules
Cartagena F.C.;Las Palmas
Cartagena F.C.;Linares
Cartagena F.C.;Lleida
Cartagena F.C.;Logroñés
Cartagena F.C.;Lorca
Cartagena F.C.;Málaga (C.D.)
Cartagena F.C.;Mallorca
Cartagena F.C.;Murcia
Cartagena F.C.;Oviedo
Cartagena F.C.;Palencia
Cartagena F.C.;Rac. Santander
Cartagena F.C.;Rayo Vallecano
Cartagena F.C.;Real Madrid B
Cartagena F.C.;Rec. Huelva
Cartagena F.C.;Sabadell
Cartagena F.C.;Salamanca
Cartagena F.C.;Sestao
Cartagena F.C.;Tenerife
Cartagena F.C.;Valencia
Cartagena F.C.;Xerez
Cartagena F.C.;Zaragoza B
Cartagena;Albacete
Cartagena;Alcorcón
Cartagena;Alcoyano
Cartagena;Almería
Cartagena;Barcelona B
Cartagena;Betis
Cartagena;Cádiz
Cartagena;Castellón
Cartagena;Celta
Cartagena;Córdoba
Cartagena;Dptivo. Coruña
Cartagena;Elche
Cartagena;Gimn. Tarragon
Cartagena;Girona
Cartagena;Granada
Cartagena;Guadalajara
Cartagena;Hércules
Cartagena;Huesca
Cartagena;Las Palmas
Cartagena;Levante
Cartagena;Murcia
Cartagena;Numancia
Cartagena;Ponferradina
Cartagena;Rayo Vallecano
Cartagena;Real Sociedad
Cartagena;Real Unión
Cartagena;Rec. Huelva
Cartagena;Sabadell
Cartagena;Salamanca
Cartagena;Tenerife
Cartagena;Valladolid
Cartagena;Villarreal B
Cartagena;Xerez
Castellón;Alavés
Castellón;Albacete
Castellón;Algeciras
Castellón;Alicante
Castellón;Almería
Castellón;Almería (A.D.)
Castellón;Alzira
Castellón;At. Madrid
Castellón;At. Madrid B
Castellón;Ath. Bilbao
Castellón;Ath. Bilbao B
Castellón;Avilés
Castellón;Badajoz
Castellón;Barakaldo
Castellón;Barcelona
Castellón;Barcelona B
Castellón;Betis
Castellón;Burgos
Castellón;Burgos (Real)
Castellón;Cádiz
Castellón;Calvo Sotelo
Castellón;Cartagena
Castellón;Cartagena F.C.
Castellón;Celta
Castellón;Ceuta
Castellón;Compostela
Castellón;Córdoba
Castellón;Cult. Leonesa
Castellón;Dptivo. Coruña
Castellón;Éibar
Castellón;Ejido
Castellón;Elche
Castellón;Ensidesa
Castellón;Espanyol
Castellón;Ferrol
Castellón;Figueres
Castellón;Getafe
Castellón;Gimn. Tarragon
Castellón;Girona
Castellón;Granada
Castellón;Granada 74
Castellón;Hércules
Castellón;Huesca
Castellón;Jaén
Castellón;Las Palmas
Castellón;Leganés
Castellón;Levante
Castellón;Linares
Castellón;Lleida
Castellón;Logroñés
Castellón;Lorca
Castellón;Lugo
Castellón;Málaga
Castellón;Málaga (C.D.)
Castellón;Málaga B
Castellón;Mallorca
Castellón;Marbella
Castellón;Mérida
Castellón;Mollerussa
Castellón;Murcia
Castellón;Numancia
Castellón;Osasuna
Castellón;Ourense
Castellón;Oviedo
Castellón;Palamós
Castellón;Palencia
Castellón;Ponferradina
Castellón;Pontevedra
Castellón;Rac. Santander
Castellón;Rayo Vallecano
Castellón;Real Madrid
Castellón;Real Madrid B
Castellón;Real Sociedad
Castellón;Real Unión
Castellón;Rec. Huelva
Castellón;Sabadell
Castellón;Salamanca
Castellón;Sant Andreu
Castellón;Sestao
Castellón;Sevilla
Castellón;Sevilla B
Castellón;Sporting Gijón
Castellón;Tenerife
Castellón;Terrassa
Castellón;Toledo
Castellón;Valencia
Castellón;Valladolid
Castellón;Vecindario
Castellón;Villarreal
Castellón;Villarreal B
Castellón;Xerez
Castellón;Zaragoza
Castellón;Zaragoza B
Celta;Alavés
Celta;Albacete
Celta;Alcorcón
Celta;Alcoyano
Celta;Algeciras
Celta;Alicante
Celta;Almería
Celta;Almería (A.D.)
Celta;At. Madrid
Celta;At. Madrid B
Celta;Ath. Bilbao
Celta;Ath. Bilbao B
Celta;Avilés
Celta;Barakaldo
Celta;Barcelona
Celta;Barcelona B
Celta;Betis
Celta;Burgos
Celta;Burgos (Real)
Celta;Cádiz
Celta;Calvo Sotelo
Celta;Cartagena
Celta;Cartagena F.C.
Celta;Castellón
Celta;Compostela
Celta;Córdoba
Celta;Dptivo. Coruña
Celta;Éibar
Celta;Ejido
Celta;Elche
Celta;Ensidesa
Celta;Espanyol
Celta;Extremadura
Celta;Ferrol
Celta;Figueres
Celta;Getafe
Celta;Gimn. Tarragon
Celta;Girona
Celta;Granada
Celta;Granada 74
Celta;Guadalajara
Celta;Hércules
Celta;Huesca
Celta;Jaén
Celta;Las Palmas
Celta;Levante
Celta;Linares
Celta;Lleida
Celta;Logroñés
Celta;Lorca
Celta;Málaga
Celta;Málaga (C.D.)
Celta;Málaga B
Celta;Mallorca
Celta;Mérida
Celta;Murcia
Celta;Numancia
Celta;Orihuela
Celta;Osasuna
Celta;Oviedo
Celta;Palamós
Celta;Palencia
Celta;Ponferradina
Celta;Pontevedra
Celta;Rac. Santander
Celta;Rayo Vallecano
Celta;Real Madrid
Celta;Real Madrid B
Celta;Real Sociedad
Celta;Real Unión
Celta;Rec. Huelva
Celta;Sabadell
Celta;Salamanca
Celta;Sant Andreu
Celta;Sestao
Celta;Sevilla
Celta;Sevilla B
Celta;Sporting Gijón
Celta;Tenerife
Celta;Terrassa
Celta;Valencia
Celta;Valladolid
Celta;Villarreal
Celta;Villarreal B
Celta;Xerez
Celta;Zaragoza
Ceuta;Alavés
Ceuta;At. Madrid B
Ceuta;Barakaldo
Ceuta;Burgos
Ceuta;Cádiz
Ceuta;Castellón
Ceuta;Elche
Ceuta;Getafe
Ceuta;Granada
Ceuta;Levante
Ceuta;Linares
Ceuta;Málaga (C.D.)
Ceuta;Oviedo
Ceuta;Palencia
Ceuta;Rac. Santander
Ceuta;Rayo Vallecano
Ceuta;Real Madrid B
Ceuta;Rec. Huelva
Ceuta;Sabadell
Compostela;Albacete
Compostela;Almería
Compostela;At. Madrid
Compostela;At. Madrid B
Compostela;Ath. Bilbao
Compostela;Ath. Bilbao B
Compostela;Avilés
Compostela;Badajoz
Compostela;Barcelona
Compostela;Barcelona B
Compostela;Betis
Compostela;Burgos (Real)
Compostela;Cádiz
Compostela;Castellón
Compostela;Celta
Compostela;Córdoba
Compostela;Dptivo. Coruña
Compostela;Éibar
Compostela;Ejido
Compostela;Elche
Compostela;Espanyol
Compostela;Extremadura
Compostela;Ferrol
Compostela;Figueres
Compostela;Getafe
Compostela;Hércules
Compostela;Jaén
Compostela;Las Palmas
Compostela;Leganés
Compostela;Levante
Compostela;Lleida
Compostela;Logroñés
Compostela;Lugo
Compostela;Málaga
Compostela;Málaga (C.D.)
Compostela;Mallorca
Compostela;Mallorca B
Compostela;Marbella
Compostela;Mérida
Compostela;Murcia
Compostela;Numancia
Compostela;Osasuna
Compostela;Ourense
Compostela;Oviedo
Compostela;Palamós
Compostela;Rac. Santander
Compostela;Rayo Vallecano
Compostela;Real Madrid
Compostela;Real Madrid B
Compostela;Real Sociedad
Compostela;Rec. Huelva
Compostela;Sabadell
Compostela;Salamanca
Compostela;Sestao
Compostela;Sevilla
Compostela;Sporting Gijón
Compostela;Tenerife
Compostela;Terrassa
Compostela;Toledo
Compostela;Univ.Las Palma
Compostela;Valencia
Compostela;Valladolid
Compostela;Villarreal
Compostela;Xerez
Compostela;Zaragoza
Córdoba;Alavés
Córdoba;Albacete
Córdoba;Alcorcón
Córdoba;Alcoyano
Córdoba;Algeciras
Córdoba;Alicante
Córdoba;Almería
Córdoba;Almería (A.D.)
Córdoba;At. Madrid
Córdoba;At. Madrid B
Córdoba;Ath. Bilbao
Córdoba;Ath. Bilbao B
Córdoba;Badajoz
Córdoba;Barakaldo
Córdoba;Barcelona
Córdoba;Barcelona B
Córdoba;Betis
Córdoba;Burgos
Córdoba;Cádiz
Córdoba;Calvo Sotelo
Córdoba;Cartagena
Córdoba;Cartagena F.C.
Córdoba;Castellón
Córdoba;Celta
Córdoba;Compostela
Córdoba;Cult. Leonesa
Córdoba;Dptivo. Coruña
Córdoba;Éibar
Córdoba;Ejido
Córdoba;Elche
Córdoba;Ensidesa
Córdoba;Espanyol
Córdoba;Extremadura
Córdoba;Ferrol
Córdoba;Getafe
Córdoba;Gimn. Tarragon
Córdoba;Girona
Córdoba;Granada
Córdoba;Granada 74
Córdoba;Guadalajara
Córdoba;Hércules
Córdoba;Huesca
Córdoba;Jaén
Córdoba;Las Palmas
Córdoba;Leganés
Córdoba;Levante
Córdoba;Linares
Córdoba;Llagostera
Córdoba;Lleida
Córdoba;Logroñés
Córdoba;Lugo
Córdoba;Málaga
Córdoba;Málaga (C.D.)
Córdoba;Málaga B
Córdoba;Mallorca
Córdoba;Mérida
Córdoba;Mirandés
Córdoba;Murcia
Córdoba;Numancia
Córdoba;Osasuna
Córdoba;Ourense
Córdoba;Oviedo
Córdoba;Palencia
Córdoba;Ponferradina
Córdoba;Pontevedra
Córdoba;Rac. Santander
Córdoba;Rayo Vallecano
Córdoba;Real Madrid
Córdoba;Real Madrid B
Córdoba;Real Sociedad
Córdoba;Real Unión
Córdoba;Rec. Huelva
Córdoba;Sabadell
Córdoba;Salamanca
Córdoba;Sant Andreu
Córdoba;Sevilla
Córdoba;Sevilla B
Córdoba;Sporting Gijón
Córdoba;Tenerife
Córdoba;Terrassa
Córdoba;Toledo
Córdoba;Univ.Las Palma
Córdoba;Valencia
Córdoba;Valencia B
Córdoba;Valladolid
Córdoba;Villarreal
Córdoba;Villarreal B
Córdoba;Xerez
Córdoba;Zaragoza
Cult. Leonesa;Alavés
Cult. Leonesa;Barakaldo
Cult. Leonesa;Barcelona B
Cult. Leonesa;Burgos
Cult. Leonesa;Cádiz
Cult. Leonesa;Castellón
Cult. Leonesa;Córdoba
Cult. Leonesa;Elche
Cult. Leonesa;Gimn. Tarragon
Cult. Leonesa;Hércules
Cult. Leonesa;Logroñés
Cult. Leonesa;Mallorca
Cult. Leonesa;Murcia
Cult. Leonesa;Osasuna
Cult. Leonesa;Ourense
Cult. Leonesa;Oviedo
Cult. Leonesa;Pontevedra
Cult. Leonesa;Rac. Santander
Cult. Leonesa;Rayo Vallecano
Cult. Leonesa;Rec. Huelva
Cult. Leonesa;Sabadell
Cult. Leonesa;Sant Andreu
Cult. Leonesa;Sevilla
Cult. Leonesa;Tenerife
Cult. Leonesa;Valencia B
Cult. Leonesa;Valladolid
Dptivo. Coruña;Alavés
Dptivo. Coruña;Albacete
Dptivo. Coruña;Alcorcón
Dptivo. Coruña;Alcoyano
Dptivo. Coruña;Algeciras
Dptivo. Coruña;Almería
Dptivo. Coruña;Almería (A.D.)
Dptivo. Coruña;Alzira
Dptivo. Coruña;At. Madrid
Dptivo. Coruña;At. Madrid B
Dptivo. Coruña;Ath. Bilbao
Dptivo. Coruña;Ath. Bilbao B
Dptivo. Coruña;Avilés
Dptivo. Coruña;Barakaldo
Dptivo. Coruña;Barcelona
Dptivo. Coruña;Barcelona B
Dptivo. Coruña;Betis
Dptivo. Coruña;Burgos
Dptivo. Coruña;Burgos (Real)
Dptivo. Coruña;Cádiz
Dptivo. Coruña;Calvo Sotelo
Dptivo. Coruña;Cartagena
Dptivo. Coruña;Cartagena F.C.
Dptivo. Coruña;Castellón
Dptivo. Coruña;Celta
Dptivo. Coruña;Compostela
Dptivo. Coruña;Córdoba
Dptivo. Coruña;Éibar
Dptivo. Coruña;Elche
Dptivo. Coruña;Ensidesa
Dptivo. Coruña;Espanyol
Dptivo. Coruña;Extremadura
Dptivo. Coruña;Ferrol
Dptivo. Coruña;Figueres
Dptivo. Coruña;Getafe
Dptivo. Coruña;Gimn. Tarragon
Dptivo. Coruña;Girona
Dptivo. Coruña;Granada
Dptivo. Coruña;Guadalajara
Dptivo. Coruña;Hércules
Dptivo. Coruña;Huesca
Dptivo. Coruña;Jaén
Dptivo. Coruña;Las Palmas
Dptivo. Coruña;Levante
Dptivo. Coruña;Linares
Dptivo. Coruña;Lleida
Dptivo. Coruña;Logroñés
Dptivo. Coruña;Lorca
Dptivo. Coruña;Lugo
Dptivo. Coruña;Málaga
Dptivo. Coruña;Málaga (C.D.)
Dptivo. Coruña;Mallorca
Dptivo. Coruña;Mérida
Dptivo. Coruña;Mirandés
Dptivo. Coruña;Mollerussa
Dptivo. Coruña;Murcia
Dptivo. Coruña;Numancia
Dptivo. Coruña;Orihuela
Dptivo. Coruña;Osasuna
Dptivo. Coruña;Ourense
Dptivo. Coruña;Oviedo
Dptivo. Coruña;Palamós
Dptivo. Coruña;Palencia
Dptivo. Coruña;Ponferradina
Dptivo. Coruña;Pontevedra
Dptivo. Coruña;Rac. Santander
Dptivo. Coruña;Rayo Vallecano
Dptivo. Coruña;Real Madrid
Dptivo. Coruña;Real Madrid B
Dptivo. Coruña;Real Sociedad
Dptivo. Coruña;Rec. Huelva
Dptivo. Coruña;Sabadell
Dptivo. Coruña;Salamanca
Dptivo. Coruña;Sant Andreu
Dptivo. Coruña;Sestao
Dptivo. Coruña;Sevilla
Dptivo. Coruña;Sporting Gijón
Dptivo. Coruña;Tenerife
Dptivo. Coruña;Terrassa
Dptivo. Coruña;Valencia
Dptivo. Coruña;Valladolid
Dptivo. Coruña;Villarreal
Dptivo. Coruña;Villarreal B
Dptivo. Coruña;Xerez
Dptivo. Coruña;Zaragoza
Dptivo. Coruña;Zaragoza B
Écija;Alavés
Écija;Albacete
Écija;Almería
Écija;At. Madrid B
Écija;Ath. Bilbao B
Écija;Badajoz
Écija;Barcelona B
Écija;Éibar
Écija;Extremadura
Écija;Getafe
Écija;Hércules
Écija;Las Palmas
Écija;Leganés
Écija;Levante
Écija;Lleida
Écija;Logroñés
Écija;Mallorca
Écija;Marbella
Écija;Mérida
Écija;Osasuna
Écija;Ourense
Écija;Real Madrid B
Écija;Salamanca
Écija;Sestao
Écija;Toledo
Écija;Villarreal
Éibar;Alavés
Éibar;Albacete
Éibar;Alcorcón
Éibar;Algeciras
Éibar;Alicante
Éibar;Almería
Éibar;Alzira
Éibar;At. Madrid
Éibar;At. Madrid B
Éibar;Ath. Bilbao
Éibar;Ath. Bilbao B
Éibar;Avilés
Éibar;Badajoz
Éibar;Barcelona
Éibar;Barcelona B
Éibar;Betis
Éibar;Burgos
Éibar;Burgos (Real)
Éibar;Cádiz
Éibar;Castellón
Éibar;Celta
Éibar;Compostela
Éibar;Córdoba
Éibar;Dptivo. Coruña
Éibar;Écija
Éibar;Ejido
Éibar;Elche
Éibar;Espanyol
Éibar;Extremadura
Éibar;Ferrol
Éibar;Figueres
Éibar;Getafe
Éibar;Gimn. Tarragon
Éibar;Girona
Éibar;Granada
Éibar;Granada 74
Éibar;Hércules
Éibar;Huesca
Éibar;Jaén
Éibar;Las Palmas
Éibar;Leganés
Éibar;Levante
Éibar;Lleida
Éibar;Logroñés
Éibar;Lorca
Éibar;Lugo
Éibar;Málaga
Éibar;Málaga (C.D.)
Éibar;Málaga B
Éibar;Mallorca
Éibar;Mallorca B
Éibar;Marbella
Éibar;Mérida
Éibar;Mirandés
Éibar;Mollerussa
Éibar;Murcia
Éibar;Numancia
Éibar;Orihuela
Éibar;Osasuna
Éibar;Ourense
Éibar;Oviedo
Éibar;Palamós
Éibar;Ponferradina
Éibar;Pontevedra
Éibar;Rac. Santander
Éibar;Rayo Vallecano
Éibar;Real Madrid
Éibar;Real Madrid B
Éibar;Real Sociedad
Éibar;Rec. Huelva
Éibar;Sabadell
Éibar;Salamanca
Éibar;Sestao
Éibar;Sevilla
Éibar;Sevilla B
Éibar;Sporting Gijón
Éibar;Tenerife
Éibar;Terrassa
Éibar;Toledo
Éibar;Univ.Las Palma
Éibar;Valencia
Éibar;Valladolid
Éibar;Villarreal
Éibar;Xerez
Éibar;Zaragoza
Ejido;Alavés
Ejido;Albacete
Ejido;Algeciras
Ejido;Almería
Ejido;At. Madrid
Ejido;Badajoz
Ejido;Burgos
Ejido;Cádiz
Ejido;Castellón
Ejido;Celta
Ejido;Compostela
Ejido;Córdoba
Ejido;Éibar
Ejido;Elche
Ejido;Extremadura
Ejido;Ferrol
Ejido;Getafe
Ejido;Gimn. Tarragon
Ejido;Granada 74
Ejido;Hércules
Ejido;Jaén
Ejido;Las Palmas
Ejido;Leganés
Ejido;Levante
Ejido;Lleida
Ejido;Lorca
Ejido;Málaga
Ejido;Málaga B
Ejido;Murcia
Ejido;Numancia
Ejido;Oviedo
Ejido;Ponferradina
Ejido;Pontevedra
Ejido;Rac. Santander
Ejido;Rayo Vallecano
Ejido;Real Madrid B
Ejido;Real Sociedad
Ejido;Rec. Huelva
Ejido;Salamanca
Ejido;Sevilla B
Ejido;Sporting Gijón
Ejido;Tenerife
Ejido;Terrassa
Ejido;Valladolid
Ejido;Vecindario
Ejido;Xerez
Ejido;Zaragoza
Elche;Alavés
Elche;Albacete
Elche;Alcorcón
Elche;Alcoyano
Elche;Algeciras
Elche;Alicante
Elche;Almería
Elche;Almería (A.D.)
Elche;At. Madrid
Elche;At. Madrid B
Elche;Ath. Bilbao
Elche;Ath. Bilbao B
Elche;Avilés
Elche;Badajoz
Elche;Barakaldo
Elche;Barcelona
Elche;Barcelona B
Elche;Betis
Elche;Burgos
Elche;Burgos (Real)
Elche;Cádiz
Elche;Cartagena
Elche;Cartagena F.C.
Elche;Castellón
Elche;Celta
Elche;Ceuta
Elche;Compostela
Elche;Córdoba
Elche;Cult. Leonesa
Elche;Dptivo. Coruña
Elche;Éibar
Elche;Ejido
Elche;Espanyol
Elche;Extremadura
Elche;Ferrol
Elche;Figueres
Elche;Getafe
Elche;Gimn. Tarragon
Elche;Girona
Elche;Granada
Elche;Granada 74
Elche;Guadalajara
Elche;Hércules
Elche;Huesca
Elche;Jaén
Elche;Las Palmas
Elche;Leganés
Elche;Levante
Elche;Linares
Elche;Lleida
Elche;Logroñés
Elche;Lorca
Elche;Lugo
Elche;Málaga
Elche;Málaga (C.D.)
Elche;Málaga B
Elche;Mallorca
Elche;Mérida
Elche;Mirandés
Elche;Murcia
Elche;Numancia
Elche;Orihuela
Elche;Osasuna
Elche;Ourense
Elche;Oviedo
Elche;Palamós
Elche;Palencia
Elche;Ponferradina
Elche;Pontevedra
Elche;Rac. Santander
Elche;Rayo Vallecano
Elche;Real Madrid
Elche;Real Madrid B
Elche;Real Sociedad
Elche;Real Unión
Elche;Rec. Huelva
Elche;Sabadell
Elche;Salamanca
Elche;Sant Andreu
Elche;Sestao
Elche;Sevilla
Elche;Sevilla B
Elche;Sporting Gijón
Elche;Tenerife
Elche;Terrassa
Elche;Toledo
Elche;Univ.Las Palma
Elche;Valencia
Elche;Valencia B
Elche;Valladolid
Elche;Vecindario
Elche;Villarreal
Elche;Villarreal B
Elche;Xerez
Elche;Zaragoza
Elche;Zaragoza B
Ensidesa;Alavés
Ensidesa;Barcelona B
Ensidesa;Burgos
Ensidesa;Cádiz
Ensidesa;Calvo Sotelo
Ensidesa;Castellón
Ensidesa;Celta
Ensidesa;Córdoba
Ensidesa;Dptivo. Coruña
Ensidesa;Gimn. Tarragon
Ensidesa;Málaga (C.D.)
Ensidesa;Murcia
Ensidesa;Osasuna
Ensidesa;Rayo Vallecano
Ensidesa;Rec. Huelva
Ensidesa;Sant Andreu
Ensidesa;Tenerife
Ensidesa;Terrassa
Ensidesa;Valladolid
Espanyol;Alavés
Espanyol;Albacete
Espanyol;Almería
Espanyol;Almería (A.D.)
Espanyol;At. Madrid
Espanyol;At. Madrid B
Espanyol;Ath. Bilbao
Espanyol;Ath. Bilbao B
Espanyol;Badajoz
Espanyol;Barcelona
Espanyol;Barcelona B
Espanyol;Betis
Espanyol;Burgos
Espanyol;Burgos (Real)
Espanyol;Cádiz
Espanyol;Castellón
Espanyol;Celta
Espanyol;Compostela
Espanyol;Córdoba
Espanyol;Dptivo. Coruña
Espanyol;Éibar
Espanyol;Elche
Espanyol;Extremadura
Espanyol;Figueres
Espanyol;Getafe
Espanyol;Gimn. Tarragon
Espanyol;Granada
Espanyol;Hércules
Espanyol;Las Palmas
Espanyol;Leganés
Espanyol;Levante
Espanyol;Logroñés
Espanyol;Málaga
Espanyol;Málaga (C.D.)
Espanyol;Mallorca
Espanyol;Marbella
Espanyol;Mérida
Espanyol;Murcia
Espanyol;Numancia
Espanyol;Osasuna
Espanyol;Oviedo
Espanyol;Palamós
Espanyol;Rac. Santander
Espanyol;Rayo Vallecano
Espanyol;Real Madrid
Espanyol;Real Madrid B
Espanyol;Real Sociedad
Espanyol;Rec. Huelva
Espanyol;Sabadell
Espanyol;Salamanca
Espanyol;Sestao
Espanyol;Sevilla
Espanyol;Sporting Gijón
Espanyol;Tenerife
Espanyol;Toledo
Espanyol;Valencia
Espanyol;Valladolid
Espanyol;Villarreal
Espanyol;Xerez
Espanyol;Zaragoza
Extremadura;Alavés
Extremadura;Albacete
Extremadura;Almería
Extremadura;At. Madrid
Extremadura;At. Madrid B
Extremadura;Ath. Bilbao
Extremadura;Ath. Bilbao B
Extremadura;Badajoz
Extremadura;Barcelona
Extremadura;Barcelona B
Extremadura;Betis
Extremadura;Burgos
Extremadura;Celta
Extremadura;Compostela
Extremadura;Córdoba
Extremadura;Dptivo. Coruña
Extremadura;Écija
Extremadura;Éibar
Extremadura;Ejido
Extremadura;Elche
Extremadura;Espanyol
Extremadura;Ferrol
Extremadura;Getafe
Extremadura;Gimn. Tarragon
Extremadura;Hércules
Extremadura;Jaén
Extremadura;Las Palmas
Extremadura;Leganés
Extremadura;Levante
Extremadura;Lleida
Extremadura;Logroñés
Extremadura;Mallorca
Extremadura;Marbella
Extremadura;Mérida
Extremadura;Murcia
Extremadura;Numancia
Extremadura;Osasuna
Extremadura;Ourense
Extremadura;Oviedo
Extremadura;Palamós
Extremadura;Rac. Santander
Extremadura;Rayo Vallecano
Extremadura;Real Madrid
Extremadura;Real Madrid B
Extremadura;Real Sociedad
Extremadura;Rec. Huelva
Extremadura;Salamanca
Extremadura;Sestao
Extremadura;Sevilla
Extremadura;Sporting Gijón
Extremadura;Tenerife
Extremadura;Toledo
Extremadura;Univ.Las Palma
Extremadura;Valencia
Extremadura;Valladolid
Extremadura;Villarreal
Extremadura;Xerez
Extremadura;Zaragoza
Ferrol;Alavés
Ferrol;Albacete
Ferrol;Algeciras
Ferrol;Almería
Ferrol;Almería (A.D.)
Ferrol;At. Madrid
Ferrol;Badajoz
Ferrol;Barakaldo
Ferrol;Betis
Ferrol;Burgos
Ferrol;Cádiz
Ferrol;Castellón
Ferrol;Celta
Ferrol;Compostela
