EQUIPO_LOCAL;EQUIPO_VISITANTE
Algeciras;Murcia
Algeciras;Numancia
Algeciras;Osasuna
Algeciras;Oviedo
Algeciras;Palencia
Algeciras;Rac. Santander
Algeciras;Rayo Vallecano
Algeciras;Real Madrid B
Algeciras;Rec. Huelva
Algeciras;Sabadell
Algeciras;Salamanca
Algeciras;Sporting Gijón
Algeciras;Tenerife
Algeciras;Terrassa
Algeciras;Valladolid
Algeciras;Xerez
Alicante;Alavés
Alicante;Albacete
Alicante;Castellón
Alicante;Celta
Alicante;Córdoba
Alicante;Éibar
Alicante;Elche
Alicante;Gimn. Tarragon
Alicante;Girona
Alicante;Hércules
Alicante;Huesca
Alicante;Las Palmas
Alicante;Levante
Alicante;Murcia
Alicante;Rayo Vallecano
Alicante;Real Sociedad
Alicante;Salamanca
Alicante;Sevilla B
Alicante;Tenerife
Alicante;Xerez
Alicante;Zaragoza
Almería (A.D.);Alavés
Almería (A.D.);Algeciras
Almería (A.D.);At. Madrid
Almería (A.D.);At. Madrid B
Almería (A.D.);Ath. Bilbao
Almería (A.D.);Barakaldo
Almería (A.D.);Barcelona
Almería (A.D.);Betis
Almería (A.D.);Burgos
Almería (A.D.);Cádiz
Almería (A.D.);Castellón
Almería (A.D.);Celta
Almería (A.D.);Córdoba
Almería (A.D.);Dptivo. Coruña
Almería (A.D.);Elche
Almería (A.D.);Espanyol
Almería (A.D.);Ferrol
Almería (A.D.);Getafe
Almería (A.D.);Granada
Almería (A.D.);Hércules
Almería (A.D.);Jaén
Almería (A.D.);Las Palmas
Almería (A.D.);Levante
Almería (A.D.);Linares
Almería (A.D.);Málaga (C.D.)
Almería (A.D.);Mallorca
Almería (A.D.);Murcia
Almería (A.D.);Osasuna
Almería (A.D.);Oviedo
Almería (A.D.);Rayo Vallecano
Almería (A.D.);Real Madrid
Almería (A.D.);Real Madrid B
Almería (A.D.);Real Sociedad
Almería (A.D.);Rec. Huelva
Almería (A.D.);Sabadell
Almería (A.D.);Salamanca
Almería (A.D.);Sevilla
Almería (A.D.);Sporting Gijón
Almería (A.D.);Terrassa
Almería (A.D.);Valencia
Almería (A.D.);Valladolid
Almería (A.D.);Zaragoza
Almería;Alavés
Almería;Albacete
Almería;Alcorcón
Almería;Alcoyano
Almería;Algeciras
Almería;At. Madrid
Almería;At. Madrid B
Almería;Ath. Bilbao
Almería;Ath. Bilbao B
Almería;Badajoz
Almería;Barcelona
Almería;Barcelona B
Almería;Betis
Almería;Cádiz
Almería;Cartagena
Almería;Castellón
Almería;Celta
Almería;Compostela
Almería;Córdoba
Almería;Dptivo. Coruña
Almería;Écija
Almería;Éibar
Almería;Ejido
Almería;Elche
Almería;Espanyol
Almería;Extremadura
Almería;Ferrol
Almería;Getafe
Almería;Gimn. Tarragon
Almería;Girona
Almería;Granada
Almería;Granada 74
Almería;Guadalajara
Almería;Hércules
Almería;Huesca
Almería;Las Palmas
Almería;Leganés
Almería;Levante
Almería;Llagostera
Almería;Lleida
Almería;Logroñés
Almería;Lorca
Almería;Lugo
Almería;Málaga
Almería;Málaga B
Almería;Mallorca
Almería;Marbella
Almería;Mérida
Almería;Mirandés
Almería;Murcia
Almería;Numancia
Almería;Osasuna
Almería;Ourense
Almería;Oviedo
Almería;Ponferradina
Almería;Pontevedra
Almería;Rac. Santander
Almería;Rayo Vallecano
Almería;Real Madrid
Almería;Real Madrid B
Almería;Real Sociedad
