idPartido;EquipoLocal;EquipoVisitante;GolesLocal;GolesVisitante;Estadio;idJor
29226;Espanyol;Levante;2;1;RCDE Stadium;
29227;Getafe;Sporting Gijón;3;0;Coliseum Alfonso Pérez;
29228;Osasuna;Málaga;3;0;El Sadar;
29229;Real Madrid;Rac. Santander;6;1;Santiago Bernabéu;
29230;Real Sociedad;Dptivo. Coruña;3;0;Reale Arena;
29231;Sevilla;Ath. Bilbao;4;3;Ramón Sánchez-Pizjuán;
29232;Valencia;Mallorca;1;2;Mestalla;
29233;Villarreal;At. Madrid;2;0;El Madrigal;
29234;Zaragoza;Barcelona;0;2;La Romareda;
29235;At. Madrid;Almería;1;1;Wanda Metropolitano;
29236;Ath. Bilbao;Getafe;3;0;San Mamés;
29237;Barcelona;Sevilla;5;0;Camp Nou;
29238;Dptivo. Coruña;Espanyol;3;0;Abanca-Riazor;
29239;Hércules;Real Madrid;1;3;José Rico Pérez;
29240;Mallorca;Levante;2;1;Son Moix;
29241;Málaga;Real Sociedad;1;2;La Rosaleda;
29242;Rac. Santander;Osasuna;4;1;El Sardinero;
29243;Sporting Gijón;Villarreal;1;1;El Requexón;
