idPartido;EquipoLocal;EquipoVisitante;GolesLocal;GolesVisitante;Estadio;idJor
29813;Gimn. Tarragon;Celta;1;2;Nou Estadi;
29814;Granada;Las Palmas;5;2;Miguel Prieto;
29815;Huesca;Rayo Vallecano;4;1;El Alcoraz;
29816;Numancia;Barcelona B;4;6;Nuevo Los Pajaritos;
29817;Rec. Huelva;Ponferradina;1;1;Nuevo Colombino;
29818;Tenerife;Xerez;2;1;Heliodoro Rodríguez López;
29819;Valladolid;Elche;2;0;José Zorrilla;
29820;Villarreal B;Girona;0;1;;
29821;Albacete;Valladolid;1;1;Carlos Belmonte;
29822;Barcelona B;Córdoba;4;1;;
29823;Cartagena;Tenerife;1;0;Cartagonova;
29824;Celta;Huesca;1;2;Balaídos;
29825;Elche;Numancia;1;0;Martínez Valero;
29826;Girona;Granada;2;0;Municipal de Montilivi;
29827;Las Palmas;Rec. Huelva;1;1;Gran Canaria;
29828;Ponferradina;Betis;1;1;El Toralín;
29829;Rayo Vallecano;Alcorcón;1;0;Campo de Fútbol de Vallecas;
29830;Salamanca;Villarreal B;1;0;Pistas del Helmántico;
29831;Xerez;Gimn. Tarragon;1;2;Municipal de Chapín;
29832;Albacete;Elche;0;2;Carlos Belmonte;
29833;Alcorcón;Celta;1;0;Santo Domingo;
29834;Betis;Las Palmas;4;1;Benito Villamarín;
29835;Córdoba;Numancia;1;2;Nuevo Arcángel;
29836;Gimn. Tarragon;Cartagena;2;0;Nou Estadi;
29837;Granada;Salamanca;0;1;Miguel Prieto;
29838;Huesca;Xerez;1;1;El Alcoraz;
29839;Rec. Huelva;Girona;4;0;Nuevo Colombino;
29840;Tenerife;Barcelona B;1;4;Heliodoro Rodríguez López;
29841;Valladolid;Ponferradina;2;1;José Zorrilla;
29842;Villarreal B;Rayo Vallecano;1;2;;
29843;Barcelona B;Gimn. Tarragon;4;0;;
29844;Cartagena;Huesca;2;0;Cartagonova;
29845;Celta;Villarreal B;0;1;Balaídos;
29846;Elche;Córdoba;2;1;Martínez Valero;
29847;Girona;Betis;0;1;Municipal de Montilivi;
29848;Las Palmas;Valladolid;2;0;Gran Canaria;
29849;Numancia;Tenerife;2;1;Nuevo Los Pajaritos;
29850;Ponferradina;Albacete;2;1;El Toralín;
29851;Rayo Vallecano;Granada;1;1;Campo de Fútbol de Vallecas;
29852;Salamanca;Rec. Huelva;0;1;Pistas del Helmántico;
29853;Xerez;Alcorcón;0;0;Municipal de Chapín;
29854;Albacete;Las Palmas;0;1;Carlos Belmonte;
29855;Alcorcón;Cartagena;0;0;Santo Domingo;
29856;Betis;Salamanca;1;0;Benito Villamarín;
29857;Gimn. Tarragon;Numancia;1;0;Nou Estadi;
29858;Granada;Celta;1;1;Miguel Prieto;
29859;Huesca;Barcelona B;1;1;El Alcoraz;
29860;Ponferradina;Elche;0;1;El Toralín;
29861;Rec. Huelva;Rayo Vallecano;1;1;Nuevo Colombino;
29862;Tenerife;Córdoba;1;2;Heliodoro Rodríguez López;
29863;Valladolid;Girona;1;0;José Zorrilla;
29864;Villarreal B;Xerez;1;2;;
29865;Barcelona B;Alcorcón;2;0;;
29866;Cartagena;Villarreal B;2;0;Cartagonova;
29867;Celta;Rec. Huelva;0;3;Balaídos;
29868;Córdoba;Gimn. Tarragon;1;0;Nuevo Arcángel;
29869;Elche;Tenerife;1;0;Martínez Valero;
29870;Girona;Albacete;3;0;Municipal de Montilivi;
29871;Las Palmas;Ponferradina;1;0;Gran Canaria;
29872;Numancia;Huesca;3;1;Nuevo Los Pajaritos;
29873;Rayo Vallecano;Betis;1;0;Campo de Fútbol de Vallecas;
29874;Salamanca;Valladolid;0;5;Pistas del Helmántico;
29875;Xerez;Granada;1;1;Municipal de Chapín;
29876;Albacete;Salamanca;1;0;Carlos Belmonte;
29877;Alcorcón;Numancia;3;1;Santo Domingo;
29878;Betis;Celta;1;1;Benito Villamarín;
29879;Gimn. Tarragon;Tenerife;1;1;Nou Estadi;
29880;Granada;Cartagena;2;1;Miguel Prieto;
29881;Huesca;Córdoba;2;0;El Alcoraz;
29882;Las Palmas;Elche;2;1;Gran Canaria;
29883;Ponferradina;Girona;1;1;El Toralín;
29884;Rec. Huelva;Xerez;1;1;Nuevo Colombino;
29885;Valladolid;Rayo Vallecano;2;2;José Zorrilla;
29886;Villarreal B;Barcelona B;2;3;;
29887;Barcelona B;Granada;4;0;;
29888;Cartagena;Rec. Huelva;1;3;Cartagonova;
29889;Celta;Valladolid;1;2;Balaídos;
29890;Córdoba;Alcorcón;1;4;Nuevo Arcángel;
29891;Elche;Gimn. Tarragon;1;0;Martínez Valero;
29892;Girona;Las Palmas;1;1;Municipal de Montilivi;
29893;Numancia;Villarreal B;2;1;Nuevo Los Pajaritos;
29894;Rayo Vallecano;Albacete;3;3;Campo de Fútbol de Vallecas;
29895;Salamanca;Ponferradina;2;2;Pistas del Helmántico;
29896;Tenerife;Huesca;0;1;Heliodoro Rodríguez López;
29897;Xerez;Betis;2;3;Municipal de Chapín;
29898;Albacete;Celta;0;1;Carlos Belmonte;
29899;Alcorcón;Tenerife;3;2;Santo Domingo;
29900;Betis;Cartagena;5;0;Benito Villamarín;
29901;Girona;Elche;2;2;Municipal de Montilivi;
29902;Granada;Numancia;2;0;Miguel Prieto;
29903;Huesca;Gimn. Tarragon;1;1;El Alcoraz;
29904;Las Palmas;Salamanca;2;1;Gran Canaria;
29905;Ponferradina;Rayo Vallecano;0;1;El Toralín;
29906;Rec. Huelva;Barcelona B;1;1;Nuevo Colombino;
29907;Valladolid;Xerez;2;1;José Zorrilla;
29908;Villarreal B;Córdoba;0;3;;
29909;Barcelona B;Betis;0;3;;
29910;Cartagena;Valladolid;1;1;Cartagonova;
29911;Celta;Ponferradina;1;1;Balaídos;
29912;Córdoba;Granada;1;1;Nuevo Arcángel;
29913;Elche;Huesca;3;0;Martínez Valero;
29914;Gimn. Tarragon;Alcorcón;2;0;Nou Estadi;
29915;Numancia;Rec. Huelva;1;2;Nuevo Los Pajaritos;
29916;Rayo Vallecano;Las Palmas;2;0;Campo de Fútbol de Vallecas;
29917;Salamanca;Girona;1;0;Pistas del Helmántico;
29918;Tenerife;Villarreal B;0;1;Heliodoro Rodríguez López;
29919;Xerez;Albacete;4;2;Municipal de Chapín;
29920;Albacete;Cartagena;1;2;Carlos Belmonte;
29921;Alcorcón;Huesca;0;1;Santo Domingo;
29922;Betis;Numancia;4;1;Benito Villamarín;
29923;Girona;Rayo Vallecano;1;3;Municipal de Montilivi;
29924;Granada;Tenerife;2;1;Miguel Prieto;
29925;Las Palmas;Celta;1;1;Gran Canaria;
29926;Ponferradina;Xerez;1;2;El Toralín;
29927;Rec. Huelva;Córdoba;2;1;Nuevo Colombino;
29928;Salamanca;Elche;5;4;Pistas del Helmántico;
29929;Valladolid;Barcelona B;2;1;José Zorrilla;
29930;Villarreal B;Gimn. Tarragon;0;2;;
29931;Barcelona B;Albacete;2;1;;
29932;Cartagena;Ponferradina;1;1;Cartagonova;
29933;Celta;Girona;0;4;Balaídos;
29934;Córdoba;Betis;1;1;Nuevo Arcángel;
29935;Elche;Alcorcón;1;0;Martínez Valero;
