NombreOficial; otrosNombres
Alavés;Deportivo Alavés
Albacete;Albacete Balompié
Alcorcón;AD Alcorcón
Alcoyano
Algeciras;Algeciras CF
Alicante
Almería
Almería (A.D.)
Alzira
At. Madrid
At. Madrid B
Ath. Bilbao;Athletic Club
Ath. Bilbao B;Bilbao Athletic
Avilés
Badajoz;C. D. Badajoz
Barakaldo
Barcelona;F. C. Barcelona
Barcelona B
Betis;Real Betis Balompié
Burgos;Burgos CF
Burgos (Real)
Cádiz;Cádiz C. F.
Calvo Sotelo;CD Puertollano
Cartagena;F. C. Cartagena
Cartagena F.C.
Castellón
Celta
Ceuta
Compostela
Córdoba;Córdoba C. F.
Cult. Leonesa
Dptivo. Coruña;R. C. Deportivo de La Coruña
Écija
Éibar;S. D. Eibar
Ejido
Elche;Elche C. F.
Ensidesa
Espanyol;RCD Espanyol
Extremadura;Extremadura UD
Ferrol;Racing Club de Ferrol
Figueres;UE Figueres
Getafe;Getafe C. F.
Gimn. Tarragon
Girona;Girona FC
Granada
Granada 74
Guadalajara;CD Guadalajara
Hércules;Hércules C. F.
Huesca;SD Huesca
Jaén;Real Jaén CF
Las Palmas;U. D. Las Palmas
Leganés;CD Leganés
Levante;Levante U. D.
Linares
Llagostera
Lleida
Logroñés;EDF Logroño
Lorca
Lugo;C. D. Lugo
Málaga;Málaga C. F.
Málaga (C.D.)
Málaga B
Mallorca;R. C. D. Mallorca
Mallorca B
Marbella
Mérida;A. D. Mérida
Mirandés
Mollerussa
Murcia;Real Murcia C. F.
Numancia;CD Numancia
Orihuela
Osasuna;C. A. Osasuna
Ourense
Oviedo;Real Oviedo
Palamós;Palamós CF
Palencia
Ponferradina;SD Ponferradina
Pontevedra
Rac. Santander
Rayo Vallecano
Real Madrid;Real Madrid C. F.
Real Madrid B;Real Madrid Club de Fútbol Castilla
Real Sociedad;Real Sociedad
Real Unión;Real Unión Club
Rec. Huelva;R. C. Recreativo de Huelva
Sabadell;CE Sabadell FC
Salamanca
Sant Andreu;UE Sant Andreu
Sestao
Sevilla;Sevilla FC
Sevilla B
Sporting Gijón
Tenerife;C. D. Tenerife
Terrassa;Terrassa Olímpica 2010
Toledo
Univ.Las Palma
Valencia;Valencia C. F.
Valencia B
Valladolid
Vecindario
Villarreal
Villarreal B
Xerez
Zaragoza;Real Zaragoza
Zaragoza B
;UP Langreo
;Caudal Deportivo
;RC Portuense
;UCAM Murcia Club de Fútbol
;RCD Carabanchel
;U. D. Logroñés
;CD Izarra
;Club de Fútbol Badalona
;Club Marino de Luanco
;Montilla CF
;Sporting de Gijón
;CE Europa
;CP Cacereño
;SD Tenisca
